date,lwe_cm
2002-04-17 12:00:00,3.800313900395704
2002-05-10 12:00:00,3.1638358525892443
2002-08-16 12:00:00,-3.2529911839730836
2002-09-16 00:00:00,-4.081516283436315
2002-10-16 12:00:00,-4.745057707123827
2002-11-16 00:00:00,-5.212008965104619
2002-12-16 12:00:00,-5.580231318731883
2003-01-16 12:00:00,-5.274709146230627
2003-02-15 00:00:00,-6.630676582831143
2003-03-16 12:00:00,-4.967136048207742
2003-04-16 00:00:00,-5.169565318952298
2003-05-11 12:00:00,-4.882240445613039
2003-07-16 12:00:00,-7.272350219681137
2003-08-16 12:00:00,-7.334436089503825
2003-09-16 00:00:00,-6.30839542228577
2003-10-16 00:00:00,-5.8763037929431405
2003-11-16 00:00:00,-4.857866058937546
2003-12-16 12:00:00,-3.956835254151361
2004-01-07 12:00:00,-4.2339885193343
2004-02-17 00:00:00,-3.7183794377442148
2004-03-16 12:00:00,-3.629325764569888
2004-04-16 00:00:00,-2.078587834051632
2004-05-16 12:00:00,-2.3436771186392207
2004-06-16 00:00:00,-2.1184130804033003
2004-07-16 12:00:00,-2.9042469737591787
2004-08-16 12:00:00,-3.2580390225993483
2004-09-16 00:00:00,-3.4208906412253093
2004-10-16 12:00:00,-2.898469674541225
2004-11-16 00:00:00,-1.5345093713099054
2004-12-16 12:00:00,-0.17397178446062256
2005-01-16 12:00:00,0.3984314123381676
2005-02-15 00:00:00,0.8356878824601495
2005-03-16 12:00:00,2.602586672358937
2005-04-16 00:00:00,2.98439580590942
2005-05-16 12:00:00,3.8412275709372157
2005-06-16 00:00:00,3.831390975539083
2005-07-16 12:00:00,2.1594235210365955
2005-08-16 12:00:00,0.40960085070533125
2005-09-16 00:00:00,-0.4429787862975427
2005-10-16 12:00:00,0.46059558448356874
2005-11-16 00:00:00,-0.07808854533720755
2005-12-16 12:00:00,0.8326860157758276
2006-01-16 12:00:00,0.4543960217267706
2006-02-15 00:00:00,1.2588912133713812
2006-03-16 12:00:00,2.0714443053444125
2006-04-16 00:00:00,2.0904283412915508
2006-05-16 12:00:00,1.7955767647651708
2006-06-16 00:00:00,1.9446091667717198
2006-07-16 12:00:00,1.1717615942453161
2006-08-16 12:00:00,0.032092333829154995
2006-09-16 00:00:00,-0.13194829982845668
2006-10-16 12:00:00,-0.09954952142299511
2006-11-16 00:00:00,-0.01645337425895832
2006-12-16 12:00:00,0.06963698504392823
2007-01-16 12:00:00,0.07942671364404141
2007-02-15 00:00:00,1.652615000590913
2007-03-16 12:00:00,1.025571714923048
2007-04-16 00:00:00,0.5916449321958908
2007-05-16 12:00:00,1.4326823274326195
2007-06-16 00:00:00,1.918219633480259
2007-07-16 12:00:00,0.04398535412599891
2007-08-16 12:00:00,-1.9079515203144979
2007-09-16 00:00:00,-1.9290464084006942
2007-10-16 12:00:00,-3.088869215334544
2007-11-16 00:00:00,-2.9355915426779653
2007-12-16 12:00:00,-2.241380105097008
2008-01-16 12:00:00,-1.439106713758079
2008-02-15 12:00:00,-1.1903544373162234
2008-03-16 12:00:00,0.16396380343841876
2008-04-16 00:00:00,0.5970849011671362
2008-05-16 12:00:00,0.8939991129888849
2008-06-16 00:00:00,0.7013350379296792
2008-07-16 12:00:00,0.18266285870049792
2008-08-16 12:00:00,-0.6097438484336735
2008-09-16 00:00:00,-0.46870037906287365
2008-10-16 12:00:00,-0.32617236369823743
2008-11-16 00:00:00,0.3802666817565221
2008-12-16 12:00:00,1.8500323757766903
2009-01-16 12:00:00,3.4246695995366245
2009-02-15 00:00:00,1.9640363920020718
2009-03-16 12:00:00,2.1979116490443644
2009-04-16 00:00:00,2.1857330624972207
2009-05-16 12:00:00,2.232962713693004
2009-06-16 00:00:00,2.511366551455275
2009-07-16 12:00:00,1.4293509453312119
2009-08-16 12:00:00,-1.5165838028031757
2009-09-16 00:00:00,-2.2322984045174827
2009-10-16 12:00:00,-1.2533446117136258
2009-11-16 00:00:00,-1.175214055491022
2009-12-16 12:00:00,-1.3085092212422325
2010-01-16 12:00:00,-0.38219252241432145
2010-02-15 00:00:00,-0.8438854671837497
2010-03-16 12:00:00,-0.2636142145099569
2010-04-16 00:00:00,-0.7753779559495229
2010-05-16 12:00:00,0.5152192387132661
2010-06-16 00:00:00,-0.769293743642244
2010-07-16 12:00:00,-2.8756476792271926
2010-08-16 12:00:00,-4.050449606249192
2010-09-16 00:00:00,-3.9772391034776042
2010-10-16 12:00:00,-3.4547564955091907
2010-11-16 00:00:00,-3.2905261067332248
2010-12-14 12:00:00,-2.1132032732447605
2011-02-18 12:00:00,-1.681571876837868
2011-03-16 12:00:00,-1.925224287698473
2011-04-16 00:00:00,-1.046822180705071
2011-05-16 12:00:00,-1.1161754789593274
